post_id,post_headline,post_summary,post_url,comment_id,comment_ref_id,comment_timestamp,comment_username,comment_replied_to,comment_message
1,b'Support for the Swiss Federal English Exam of the Direktionassistenten/-innen Course',"b' Are you considering taking the\xc2\xa0Swiss Federal English Exam of the Direktionassistenten/innen Course (Berufspr\xc3\xbcfung Direktionsassistent/-innen)? The Loras Network is here to assist you, with a lot of helpful material we have either created ourselves, or have in the form of Past Papers.  \xc2\xa0 We provide full support in: \xe2\x80\x93 Presentation Planning & Practice \xe2\x80\x93 Speaking Part 1 \xe2\x80\x93 Text Comprehension + Q & A Section \xe2\x80\x93 Speaking Part 2 \xe2\x80\x93 Correspondence for Writing Section \xe2\x80\x93 Grammar for all levels \xe2\x80\x93 Extra Vocabulary & Idiom Practice We have successfully been supporting the needs for the Swiss Federal English Exam of the Direktionassistenten/innen Course (Berufspr\xc3\xbcfung Direktionsassistent/-innen). Please feel free to arrange a meeting with us in order to discuss your needs and determine your level of support. \xc2\xa0 Thank you, Eugenia and Vicky Loras'",https://vickyloras.wordpress.com/2016/12/16/support-for-the-swiss-federal-english-exam-of-the-direktionassistenten-innen-course/,1,0,1481902200.0,b'Eugenia Loras - \xce\x95\xcf\x85\xce\xb3\xce\xb5\xce\xbd\xce\xaf\xce\xb1 \xce\x9b\xcf\x8e\xcf\x81\xce\xb1',b'',b'Reblogged this on Eugenia Loras and commented:Via @vickyloras '
1,b'Support for the Swiss Federal English Exam of the Direktionassistenten/-innen Course',"b' Are you considering taking the\xc2\xa0Swiss Federal English Exam of the Direktionassistenten/innen Course (Berufspr\xc3\xbcfung Direktionsassistent/-innen)? The Loras Network is here to assist you, with a lot of helpful material we have either created ourselves, or have in the form of Past Papers.  \xc2\xa0 We provide full support in: \xe2\x80\x93 Presentation Planning & Practice \xe2\x80\x93 Speaking Part 1 \xe2\x80\x93 Text Comprehension + Q & A Section \xe2\x80\x93 Speaking Part 2 \xe2\x80\x93 Correspondence for Writing Section \xe2\x80\x93 Grammar for all levels \xe2\x80\x93 Extra Vocabulary & Idiom Practice We have successfully been supporting the needs for the Swiss Federal English Exam of the Direktionassistenten/innen Course (Berufspr\xc3\xbcfung Direktionsassistent/-innen). Please feel free to arrange a meeting with us in order to discuss your needs and determine your level of support. \xc2\xa0 Thank you, Eugenia and Vicky Loras'",https://vickyloras.wordpress.com/2016/12/16/support-for-the-swiss-federal-english-exam-of-the-direktionassistenten-innen-course/,2,0,1543951680.0,b'claireconstant',b'',"b'Vicky , I am concerned. You seem to have disappeared from twitter.  Are you okay ? '"
1,b'Support for the Swiss Federal English Exam of the Direktionassistenten/-innen Course',"b' Are you considering taking the\xc2\xa0Swiss Federal English Exam of the Direktionassistenten/innen Course (Berufspr\xc3\xbcfung Direktionsassistent/-innen)? The Loras Network is here to assist you, with a lot of helpful material we have either created ourselves, or have in the form of Past Papers.  \xc2\xa0 We provide full support in: \xe2\x80\x93 Presentation Planning & Practice \xe2\x80\x93 Speaking Part 1 \xe2\x80\x93 Text Comprehension + Q & A Section \xe2\x80\x93 Speaking Part 2 \xe2\x80\x93 Correspondence for Writing Section \xe2\x80\x93 Grammar for all levels \xe2\x80\x93 Extra Vocabulary & Idiom Practice We have successfully been supporting the needs for the Swiss Federal English Exam of the Direktionassistenten/innen Course (Berufspr\xc3\xbcfung Direktionsassistent/-innen). Please feel free to arrange a meeting with us in order to discuss your needs and determine your level of support. \xc2\xa0 Thank you, Eugenia and Vicky Loras'",https://vickyloras.wordpress.com/2016/12/16/support-for-the-swiss-federal-english-exam-of-the-direktionassistenten-innen-course/,3,2,1543954140.0,b'Vicky Loras',b'claireconstant',b'Hi Claire!Thank you so much for your message \xe2\x80\x93 I am sorry to have worried you! I have decided to take some time off social media. I will be happy to keep in touch with you if you like \xe2\x80\x93 my email is vickyloras@yahoo.ca : ) '
1,b'Support for the Swiss Federal English Exam of the Direktionassistenten/-innen Course',"b' Are you considering taking the\xc2\xa0Swiss Federal English Exam of the Direktionassistenten/innen Course (Berufspr\xc3\xbcfung Direktionsassistent/-innen)? The Loras Network is here to assist you, with a lot of helpful material we have either created ourselves, or have in the form of Past Papers.  \xc2\xa0 We provide full support in: \xe2\x80\x93 Presentation Planning & Practice \xe2\x80\x93 Speaking Part 1 \xe2\x80\x93 Text Comprehension + Q & A Section \xe2\x80\x93 Speaking Part 2 \xe2\x80\x93 Correspondence for Writing Section \xe2\x80\x93 Grammar for all levels \xe2\x80\x93 Extra Vocabulary & Idiom Practice We have successfully been supporting the needs for the Swiss Federal English Exam of the Direktionassistenten/innen Course (Berufspr\xc3\xbcfung Direktionsassistent/-innen). Please feel free to arrange a meeting with us in order to discuss your needs and determine your level of support. \xc2\xa0 Thank you, Eugenia and Vicky Loras'",https://vickyloras.wordpress.com/2016/12/16/support-for-the-swiss-federal-english-exam-of-the-direktionassistenten-innen-course/,4,2,1543954260.0,b'claireconstant',b'claireconstant',"b'Perfect .. I just thought about you today and realised I\xe2\x80\x99d not seen you. When I searched I couldn\xe2\x80\x99t find you and was concerned.  Sometimes a break does us good . Thankyou for your email, I\xe2\x80\x99ll message you do you have mine too xx'"
1,b'Support for the Swiss Federal English Exam of the Direktionassistenten/-innen Course',"b' Are you considering taking the\xc2\xa0Swiss Federal English Exam of the Direktionassistenten/innen Course (Berufspr\xc3\xbcfung Direktionsassistent/-innen)? The Loras Network is here to assist you, with a lot of helpful material we have either created ourselves, or have in the form of Past Papers.  \xc2\xa0 We provide full support in: \xe2\x80\x93 Presentation Planning & Practice \xe2\x80\x93 Speaking Part 1 \xe2\x80\x93 Text Comprehension + Q & A Section \xe2\x80\x93 Speaking Part 2 \xe2\x80\x93 Correspondence for Writing Section \xe2\x80\x93 Grammar for all levels \xe2\x80\x93 Extra Vocabulary & Idiom Practice We have successfully been supporting the needs for the Swiss Federal English Exam of the Direktionassistenten/innen Course (Berufspr\xc3\xbcfung Direktionsassistent/-innen). Please feel free to arrange a meeting with us in order to discuss your needs and determine your level of support. \xc2\xa0 Thank you, Eugenia and Vicky Loras'",https://vickyloras.wordpress.com/2016/12/16/support-for-the-swiss-federal-english-exam-of-the-direktionassistenten-innen-course/,5,0,1543954140.0,b'Vicky Loras',b'',b'Hi Claire!Thank you so much for your message \xe2\x80\x93 I am sorry to have worried you! I have decided to take some time off social media. I will be happy to keep in touch with you if you like \xe2\x80\x93 my email is vickyloras@yahoo.ca : ) '
1,b'Support for the Swiss Federal English Exam of the Direktionassistenten/-innen Course',"b' Are you considering taking the\xc2\xa0Swiss Federal English Exam of the Direktionassistenten/innen Course (Berufspr\xc3\xbcfung Direktionsassistent/-innen)? The Loras Network is here to assist you, with a lot of helpful material we have either created ourselves, or have in the form of Past Papers.  \xc2\xa0 We provide full support in: \xe2\x80\x93 Presentation Planning & Practice \xe2\x80\x93 Speaking Part 1 \xe2\x80\x93 Text Comprehension + Q & A Section \xe2\x80\x93 Speaking Part 2 \xe2\x80\x93 Correspondence for Writing Section \xe2\x80\x93 Grammar for all levels \xe2\x80\x93 Extra Vocabulary & Idiom Practice We have successfully been supporting the needs for the Swiss Federal English Exam of the Direktionassistenten/innen Course (Berufspr\xc3\xbcfung Direktionsassistent/-innen). Please feel free to arrange a meeting with us in order to discuss your needs and determine your level of support. \xc2\xa0 Thank you, Eugenia and Vicky Loras'",https://vickyloras.wordpress.com/2016/12/16/support-for-the-swiss-federal-english-exam-of-the-direktionassistenten-innen-course/,6,5,1543954260.0,b'claireconstant',b'Vicky Loras',"b'Perfect .. I just thought about you today and realised I\xe2\x80\x99d not seen you. When I searched I couldn\xe2\x80\x99t find you and was concerned.  Sometimes a break does us good . Thankyou for your email, I\xe2\x80\x99ll message you do you have mine too xx'"
1,b'Support for the Swiss Federal English Exam of the Direktionassistenten/-innen Course',"b' Are you considering taking the\xc2\xa0Swiss Federal English Exam of the Direktionassistenten/innen Course (Berufspr\xc3\xbcfung Direktionsassistent/-innen)? The Loras Network is here to assist you, with a lot of helpful material we have either created ourselves, or have in the form of Past Papers.  \xc2\xa0 We provide full support in: \xe2\x80\x93 Presentation Planning & Practice \xe2\x80\x93 Speaking Part 1 \xe2\x80\x93 Text Comprehension + Q & A Section \xe2\x80\x93 Speaking Part 2 \xe2\x80\x93 Correspondence for Writing Section \xe2\x80\x93 Grammar for all levels \xe2\x80\x93 Extra Vocabulary & Idiom Practice We have successfully been supporting the needs for the Swiss Federal English Exam of the Direktionassistenten/innen Course (Berufspr\xc3\xbcfung Direktionsassistent/-innen). Please feel free to arrange a meeting with us in order to discuss your needs and determine your level of support. \xc2\xa0 Thank you, Eugenia and Vicky Loras'",https://vickyloras.wordpress.com/2016/12/16/support-for-the-swiss-federal-english-exam-of-the-direktionassistenten-innen-course/,7,0,1543954260.0,b'claireconstant',b'',"b'Perfect .. I just thought about you today and realised I\xe2\x80\x99d not seen you. When I searched I couldn\xe2\x80\x99t find you and was concerned.  Sometimes a break does us good . Thankyou for your email, I\xe2\x80\x99ll message you do you have mine too xx'"
2,b'Seven \xe2\x80\x93 \xce\x95\xcf\x80\xcf\x84\xce\xac \xe2\x80\x93\xc2\xa0Sieben',"b'  Seven. \xce\x95\xcf\x80\xcf\x84\xce\xac. Sieben. It is that time of the year again! Seven years of blogging \xe2\x80\x93 sometimes often, sometimes not so often\xe2\x80\xa6 A few weeks ago, Doug Peterson wrote a post about Starting or Reflecting on a Blog \xe2\x80\x93 and I thought it was great to write on at least some of the points he mentions, and what I have learned in the process of these seven years. There is so uch more to learn \xe2\x80\x93 and share! I will make that seven points \xe2\x80\x93 to keep to the theme of seven : ) Thank you all so much for being with me on this amazing journey, for sharing, for teaching me and helping me become a better educator! \xc2\xa0 \xc2\xa0'",https://vickyloras.wordpress.com/2016/12/09/seven-%ce%b5%cf%80%cf%84%ce%ac-sieben/,1,0,1481318100.0,b'dougpete',b'',"b'Thank you for following up and sharing your thoughts, Vicky.  I think your point about blogging being a huge learning platform is so appropriate.  There are so many smart people who share their thoughts and we are all beneficiaries from their efforts.  I also liked to focus in on the concept of blogging improving writing.  It\xe2\x80\x99s the one area where we all go back to Grade 5 knowing that someone will be reading our work and so we want it to be the best that it can be.I consider you one of the most valuable people that I\xe2\x80\x99ve connected with as a result of this platform and I wish you all the best for the next seven years.'"
2,b'Seven \xe2\x80\x93 \xce\x95\xcf\x80\xcf\x84\xce\xac \xe2\x80\x93\xc2\xa0Sieben',"b'  Seven. \xce\x95\xcf\x80\xcf\x84\xce\xac. Sieben. It is that time of the year again! Seven years of blogging \xe2\x80\x93 sometimes often, sometimes not so often\xe2\x80\xa6 A few weeks ago, Doug Peterson wrote a post about Starting or Reflecting on a Blog \xe2\x80\x93 and I thought it was great to write on at least some of the points he mentions, and what I have learned in the process of these seven years. There is so uch more to learn \xe2\x80\x93 and share! I will make that seven points \xe2\x80\x93 to keep to the theme of seven : ) Thank you all so much for being with me on this amazing journey, for sharing, for teaching me and helping me become a better educator! \xc2\xa0 \xc2\xa0'",https://vickyloras.wordpress.com/2016/12/09/seven-%ce%b5%cf%80%cf%84%ce%ac-sieben/,2,1,1481318400.0,b'Vicky Loras',b'dougpete',"b'Thank you ever so much for your comment and your wonderful words, Doug! I feel exactly the same about connecting with you and I really mean it. Thank you so much for everything I learn from you on a literally daily basis! You are SUPER!'"
2,b'Seven \xe2\x80\x93 \xce\x95\xcf\x80\xcf\x84\xce\xac \xe2\x80\x93\xc2\xa0Sieben',"b'  Seven. \xce\x95\xcf\x80\xcf\x84\xce\xac. Sieben. It is that time of the year again! Seven years of blogging \xe2\x80\x93 sometimes often, sometimes not so often\xe2\x80\xa6 A few weeks ago, Doug Peterson wrote a post about Starting or Reflecting on a Blog \xe2\x80\x93 and I thought it was great to write on at least some of the points he mentions, and what I have learned in the process of these seven years. There is so uch more to learn \xe2\x80\x93 and share! I will make that seven points \xe2\x80\x93 to keep to the theme of seven : ) Thank you all so much for being with me on this amazing journey, for sharing, for teaching me and helping me become a better educator! \xc2\xa0 \xc2\xa0'",https://vickyloras.wordpress.com/2016/12/09/seven-%ce%b5%cf%80%cf%84%ce%ac-sieben/,3,0,1481318400.0,b'Vicky Loras',b'',"b'Thank you ever so much for your comment and your wonderful words, Doug! I feel exactly the same about connecting with you and I really mean it. Thank you so much for everything I learn from you on a literally daily basis! You are SUPER!'"
2,b'Seven \xe2\x80\x93 \xce\x95\xcf\x80\xcf\x84\xce\xac \xe2\x80\x93\xc2\xa0Sieben',"b'  Seven. \xce\x95\xcf\x80\xcf\x84\xce\xac. Sieben. It is that time of the year again! Seven years of blogging \xe2\x80\x93 sometimes often, sometimes not so often\xe2\x80\xa6 A few weeks ago, Doug Peterson wrote a post about Starting or Reflecting on a Blog \xe2\x80\x93 and I thought it was great to write on at least some of the points he mentions, and what I have learned in the process of these seven years. There is so uch more to learn \xe2\x80\x93 and share! I will make that seven points \xe2\x80\x93 to keep to the theme of seven : ) Thank you all so much for being with me on this amazing journey, for sharing, for teaching me and helping me become a better educator! \xc2\xa0 \xc2\xa0'",https://vickyloras.wordpress.com/2016/12/09/seven-%ce%b5%cf%80%cf%84%ce%ac-sieben/,4,0,1481322420.0,b'Marc',b'',"b'Wow, 7 years! Keep hitting publish! '"
